Fly Ranch Stock List,,,,,,,
B = Balancer chromosomes,,,,,,,
C = Gal4-UAS combinations,,,,,,,
G = Gal4 lines,,,,,,,
J = Janelia Gal4 lines,,,Maroon indicates stocks that we no longer maintain as of 04/2016,,,,
L = LexA drivers,,,Blue indicates a duplicate that was ordered/recieved,,,,
M = Mutations/ other,,,,,,,
S= Split Gal4s,,,,,,,
U = UAS lines,,,,,,,
W = Wild-type strains,,,,,,,
X = LexA operators,,,,,,,
,,,,,,,
,,,,,,,
Balancer chromosomes,nickname,chromosome I,chromosome II,chromosome III,"source, date",notes,
B-01,TM3 Sb/ TM6B Tb,+ (HCS),+,TM3 Sb/ TM6B Tb,--,--,
B-02,CyO/ ScO ; MRKS/ TM6B,w[1118]/Dp(1;Y)y[+],CyO/ nub[1] b[1] sna[Sco] lt[1] stw[3],"MKRS Sb/TM6B, Tb[1]",Bloom 3703,--,
B-03,CyO/ Sp; TM2/ TM6B,w[*],CyO/ Sp,"TM2 Ubx / TM6B, Tb",J Parrish 14,--,
B-04,Sp/ CyO-GFP; D/ TM3 Sb Ser,y[*]w[*] hs flp,Sp/ CyO-GFP,D/ TM3 Sb Ser,Schubiger P-07,--,
B-05,Sp/ SM6-TM6B linked,+ (HCS),Sp/ SM6-TM6B linked,SM6-TM6B linked,Schubiger P-16,--,
B-06,CyO-GFP/ ScO,+ (HCS),CyO-GFP/ScO,+ (HCS),,--,
B-07,Gla/CyO,w[*],Gla/CyO,+,Schubiger P-04,--,
B-08,Sp/ CyO; TM6B Tb/TM3 Sb,+ (HCS),Sp/CyO,TM3 Sb Ser/ TM6B Tb,homemade,--,
B-09,ScO/CyO ; TM6B Tb/ TM2 Ubx,+ (HCS),ScO/CyO,TM2 Ubx/ TM6B Tb,homemade,--,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Combinations of multiple transgenes,nickname,chromosome I,chromosome II,chromosome III,"source, date",notes,
C-01,"JZP 025b-Gal4 ; UAS-DenMark, UAS-syt.eGFP",w[1118]/+,P{IT.GAL4}025b,"P{w[+mC]=UAS-DenMark}2, P{w[+mC]=UAS-syt.eGFP}3",Ainne made 7/2013,025b line expression deteriorating!,
C-02,R20C05-LexA;R94H09-Gal4,+,P{y[+t7.7] w[+mC]=GMR20C05-lexA}attP40/CyO,P{y[+t7.7] w[+mC]=GMR94H09-GAL4}attP2,AInne made 8/2014,Created from L-12 & J-200 for intersectional expression. Cross to C-51 to see expression,
C-03,DB-331-Gal4 ; UAS-2xeGFP,"DB331-Gal4, w[+]",P{w[+mC]=UAS-2xEGFP}AH2,+,--,--,
C-04,"TBh[nm18], DB331-Gal4 ; UAS-2xeGFP","TBh[nm18], DB331-Gal4 / FM6 w B",P{w[+mC]=UAS-2xEGFP}AH2,,--,--,
C-05,UAS-2xeGFP ; 3A-Gal4,+,P{w[+mC]=UAS-2xEGFP}AH2,P{w[+mW.hs]=GawB}3A,--,--,
C-06,R20C05-LexA;R15C02-Gal4,+,P{y[+t7.7] w[+mC]=GMR20C05-lexA}attP40/CyO,P{w[+mC]=GMR15C02-GAL4}attP2,Ainne made 9/2014,Created from L-12 & J-10 for intersectional expression. Cross to C-51 to see expression,
C-07,"TBH[nm18], w[+] ; UAS-2xeGFP ; 3A-Gal4","TBH[nm18], w[+]",P{w[+mC]=UAS-2xEGFP}AH2,P{w[+mW.hs]=GawB}3A,--,--,
C-08,"TBh[nm18], DB331-Gal4 ;;  hs-TBh","TBh[nm18], DB331-Gal4",+,P{hsp–TBH},,,
C-09,"hs flp ; FRT G13, UAS-GFP (II)","P{ry[+t7.2]=hsFLP}1, y[1] w[1118]",P{w[+mW.hs]=FRT(w[hs])}G13 P{w[+mC]=UAS-mCD8::GFP.L}LL5,+,"Bloom 5131, 3/2013",for Anne's MARCM mosaic clones,
C-10,"FRT G13, tub-Gal80 (II)",w[*],P{w[+mW.hs]=FRT(w[hs])}G13 P{w[+mC]=tubP-GAL80}LL2,+,"Bloom 5140, 3/2013",for Anne's MARCM mosaic clones,
C-11,"Tbh[nm18], w[+], DB331-Gal4 ; UAS-GCamp3.0","Tbh[nm18], w[+], DB331-Gal4 / FM6 Bar",pJFRC-MUH{UAS-GCaMP3.0}attP40,+,,,
C-12,"D42-Gal4, UAS-CD8-GFP",+ (HCS),UAS-CD8-GFP/ Cyo-wee,P{GawB}D42/TM6B,"J Parrish, 3/2012","motor neuron driver, http://flybase.org/reports/FBti0002759.html, enhancer trap is between CG7255 and the Toll-6",
C-13,"Cha-Gal4DBD, UAS-GFP",w[*],P{w[+mC]=UAS-2xEGFP}AH2,P{w[+mC]=Cha-GAL4.DBD}J8A1,Bloom 23869,expressed in cholinergic neurons,
C-14,"elav-Gal4, UAS-PA-GFP","yw, hs flp[122]",elav-Gal4/CyO,UAS-PA-GFP,"Allan Wong, 8/2012",photoactivatible GFP,
C-15,"Appl-GAl4, UAS-PA-GFP",Appl-Gal4,UAS-PA-GFP,UAS-PA-GFP,"Allan Wong, 8/2012",photoactivatible GFP,
C-16,"gh146-Gal4, UAS-PA-GFP","yw, hs flp[122]",GH146-Gal4/CyO,UAS-PA-GFP,"Allan Wong, 8/2012","photoactivatible GFP, labels the projection neurons in the antennal lobe",
C-17,VGlut-Gal4 ; UAS-GFP,"P{w[+mC]=VGlut-GAL4.D}1, w[+] / FM6 Bar",UAS-2x- eGFP / CyO,+,"made by Marie, 9/2012",,
C-18,Tdc2-Gal4 ; 20xUAS-GCaMP,+ (HCS),P{w[+mC]=Tdc2-GAL4.C}2,P{w[+mC]=20XUAS-GCaMP3}attP2,"made by Anne, 9/2012",,
C-19,UAS-TrpA1 ; 20xUAS-GCaMP,+ (HCS),P{w[+mC]=UAS-TrpA1.K}attP16,P{w[+mC]=20XUAS-GCaMP3}attP2,"made by Anne, 9/2012",,
C-20,UAS-GCAMP3 ; UAS-ChR2-C128S,+ (HCS),pJFRC-MUH{UAS-GCaMP3.0}attP40,UAS-ChR2-C128S-YFP/TM3 Sb,"made by Anne, 9/2012",,
C-21,"DB331-Gal4, UAS-tdTomato","DB331-Gal4, w[+],  P{w[+mC]=10XUAS-IVS-myr::tdTomato}su(Hw)attP8 / FM6 Bar",+ / CyO,+ / TM3 Sb,"made by Anne, 9/2012",,
C-22,DB331-Gal4 ; UAS-PA-GFP ; UAS-PA-GFP,"DB331-Gal4, w[+]",UAS-PA-GFP / CyO,UAS-PA-GFP / TM3 Sb,"made by Anne, 9/2012",,
C-23,"DB331-Gal4, UAS-tdTomato; ;  nSyb-LexA, LexAOP-mPA-GFP","DB331-Gal4, w[+],  P{w[+mC]=10XUAS-IVS-myr::tdTomato}su(Hw)attP8 / w[1118]",+ / CyO / Sp,"nSyb-LexAp65 attP2, LexAOP-mPA-GFP VK5/Tm2/Tm6b","made by Anne, 9/2012","Anne will make a new, stable version of this by mid-October.",
C-24,"DB331-Gal4, UAS-tdTomato; UAS-C3PA-GFP ; UAS-C3PA-GFP","DB331-Gal4, w[+],  P{w[+mC]=10XUAS-IVS-myr::tdTomato}su(Hw)attP8 / FM6 Bar",UAS-C3PA / CyO,UAS-C3PA / TM3 Sb,"made by Anne, 10/2012",,
C-25,"DB331-Gal4, UAS-tdTomato; UAS-SPA-GFP ; UAS-SPA-GFP","DB331-Gal4, w[+],  P{w[+mC]=10XUAS-IVS-myr::tdTomato}su(Hw)attP8 / FM6 Bar",UAS-SPA / CyO,UAS-SPA / TM3 Sb,"made by Anne, 10/2012",,
C-26,"nSyb-LexA, LexAOP-mPA-GFP (III)",w[1118],Bi/Cyo,"nSyb-LexAp65 attP2, LexAOP-mPA-GFP VK5/Tm2/Tm6b",Allan Wong 8/2012,nsyb promoter driver with pan-neuronal PA-GFP expression,
C-27,"51C01-nSyb-LexA, LexAOP-mPA-GFP (III)",w[1118],Bi/Cyo,"51C01-LexAp65 VK20, LexAOP-mPA-GFP VK5/Tm2/Tm6b",Allan Wong 8/2012,nsyb promoter driver with pan-neuronal PA-GFP expression,
C-28,"UAS-tdTomato; ; nSyb-LexA, LexAOP-mPA-GFP ","w[*], P{w[+mC]=10XUAS-IVS-myr::tdTomato}su(Hw)attP8",+,"nSyb-LexAp65 attP2, LexAOP-mPA-GFP VK5/TM3Sb",Anne made,"nsyb promoter driver with pan-neuronal PA-GFP expression; See some bar-eye remnants (observed by Pavan June 19, 2015)",
C-29,Tdc2-Gal4; 342-flp,?,Tdc2-Gal4,342-flippase,"Ed Kravitz Lab, 2012",Marie,
C-30,Tdc2-Gal4; 243-flp,?,Tdc2-Gal4,243-flipase,"Ed Kravitz Lab, 2012",Marie,
C-31,tub Gal80 ts ; UAS-Kir ; UAS-GCaMP3,"P{w[+mC]=tubP-GAL80[ts]}Sxl[9], w[*]/FM7c",P{w[+mC]=UAS-Hsap\KCNJ2.EGFP}1,PBac{20XUAS-IVS-GCaMP3-p10}VK00005,12/2012,Peter made this stock.,
C-32,ey-flp; JO15 JOAB-Gal4/TM6B Tb,+,ey-flp,P{w[+mC]=J21.17-GAL4}JO15/TM3 Sb,Made by Ainne 07/2013,for Akira,
C-33,ey-flp; JO1  NP0761-Gal4,+,ey-flp,P{GawB}NP0761,Made by Ainne 07/2013,for Akira,
C-34,ey-flp; JO31 NP6250-Gal4,ey-flp,"P{GawB}NP6250 / CyO, P{UAS-lacZ.UW14}UW14",+,Made by Ainne 08/2013,for Akira,
C-35,JO2  NP1046-Gal4; ey-flp,  y[+] P{GawB}NP1046 w[+],ey-flp,+,Made by Ainne 08/2013,for Akira,
C-36,"Tdc2-Gal4, 342-flp",?,"Tdc2-Gal4, 342-flippase",+,"Ed Kravitz Lab, 2013",Marie,
C-37,Tdc2-Gal4; 331-flp,?,Tdc2-Gal4,331-flipase,"Ed Kravitz Lab, 2013",Marie,
C-38,UAS-GCamp3.0; tub>Gal80-stop>,?,UAS-GCamp3.0,tub > gal80-stop >,"Ed Kravitz Lab, 2013","Marie.  Gal80 is flanked by FRT sites, and can be excised by flippase. (Was sent with CyO and TM6B but they were floating and disappeared. - AS 1/2014)",
C-39,UAS-GCamp3.0; tub>Gal80-stop>,?,UAS-GCamp3.0 / CyO,tub > gal80-stop > / TM2 Ubx,"Ed Kravitz Lab, 2013","Marie.  Gal80 is flanked by FRT sites, and can be excised by flippase.  CyO and TM2 are floating.",
C-40,UAS-GFP ; Ubx[M1]-Gal4,"yw, hs-flp, UAS-GFP",If / CyO,Ubx[M1]-Gal4 / TM6B,"J Parrish Lab, 2013","Gal4 line strongly labels haltere neurons. If=Irregular facets, dominant eye marker",
C-41,UAS-GFP ; fru-Gal4,w[*],UAS-GFP,fru-Gal4 [D],"Yufeng Pan, 10/2013.  Originally from B. Dickson's Lab.","Pan et al (2011). fru-Gal4[D]> TrpA1
flies undergo a robust behavioral change, including wing extension.",
